"MFW","distance","culling","centroid"
10,"dist.manhattan",100,FALSE
20,"dist.manhattan",100,FALSE
30,"dist.manhattan",100,FALSE
40,"dist.manhattan",100,FALSE
50,"dist.manhattan",100,FALSE
60,"dist.manhattan",100,FALSE
70,"dist.manhattan",100,FALSE
80,"dist.manhattan",100,FALSE
90,"dist.manhattan",100,FALSE
100,"dist.manhattan",100,FALSE
110,"dist.manhattan",100,FALSE
120,"dist.manhattan",100,FALSE
130,"dist.manhattan",100,FALSE
140,"dist.manhattan",100,FALSE
150,"dist.manhattan",100,FALSE
160,"dist.manhattan",100,FALSE
170,"dist.manhattan",100,FALSE
180,"dist.manhattan",100,FALSE
190,"dist.manhattan",100,FALSE
200,"dist.manhattan",100,FALSE
210,"dist.manhattan",100,FALSE
220,"dist.manhattan",100,FALSE
230,"dist.manhattan",100,FALSE
240,"dist.manhattan",100,FALSE
250,"dist.manhattan",100,FALSE
260,"dist.manhattan",100,FALSE
270,"dist.manhattan",100,FALSE
280,"dist.manhattan",100,FALSE
290,"dist.manhattan",100,FALSE
300,"dist.manhattan",100,FALSE
10,"dist.euclidean",100,FALSE
20,"dist.euclidean",100,FALSE
30,"dist.euclidean",100,FALSE
40,"dist.euclidean",100,FALSE
50,"dist.euclidean",100,FALSE
60,"dist.euclidean",100,FALSE
70,"dist.euclidean",100,FALSE
80,"dist.euclidean",100,FALSE
90,"dist.euclidean",100,FALSE
100,"dist.euclidean",100,FALSE
110,"dist.euclidean",100,FALSE
120,"dist.euclidean",100,FALSE
130,"dist.euclidean",100,FALSE
140,"dist.euclidean",100,FALSE
150,"dist.euclidean",100,FALSE
160,"dist.euclidean",100,FALSE
170,"dist.euclidean",100,FALSE
180,"dist.euclidean",100,FALSE
190,"dist.euclidean",100,FALSE
200,"dist.euclidean",100,FALSE
210,"dist.euclidean",100,FALSE
220,"dist.euclidean",100,FALSE
230,"dist.euclidean",100,FALSE
240,"dist.euclidean",100,FALSE
250,"dist.euclidean",100,FALSE
260,"dist.euclidean",100,FALSE
270,"dist.euclidean",100,FALSE
280,"dist.euclidean",100,FALSE
290,"dist.euclidean",100,FALSE
300,"dist.euclidean",100,FALSE
10,"dist.delta",100,FALSE
20,"dist.delta",100,FALSE
30,"dist.delta",100,FALSE
40,"dist.delta",100,FALSE
50,"dist.delta",100,FALSE
60,"dist.delta",100,FALSE
70,"dist.delta",100,FALSE
80,"dist.delta",100,FALSE
90,"dist.delta",100,FALSE
100,"dist.delta",100,FALSE
110,"dist.delta",100,FALSE
120,"dist.delta",100,FALSE
130,"dist.delta",100,FALSE
140,"dist.delta",100,FALSE
150,"dist.delta",100,FALSE
160,"dist.delta",100,FALSE
170,"dist.delta",100,FALSE
180,"dist.delta",100,FALSE
190,"dist.delta",100,FALSE
200,"dist.delta",100,FALSE
210,"dist.delta",100,FALSE
220,"dist.delta",100,FALSE
230,"dist.delta",100,FALSE
240,"dist.delta",100,FALSE
250,"dist.delta",100,FALSE
260,"dist.delta",100,FALSE
270,"dist.delta",100,FALSE
280,"dist.delta",100,FALSE
290,"dist.delta",100,FALSE
300,"dist.delta",100,FALSE
10,"dist.eder",100,FALSE
20,"dist.eder",100,FALSE
30,"dist.eder",100,FALSE
40,"dist.eder",100,FALSE
50,"dist.eder",100,FALSE
60,"dist.eder",100,FALSE
70,"dist.eder",100,FALSE
80,"dist.eder",100,FALSE
90,"dist.eder",100,FALSE
100,"dist.eder",100,FALSE
110,"dist.eder",100,FALSE
120,"dist.eder",100,FALSE
130,"dist.eder",100,FALSE
140,"dist.eder",100,FALSE
150,"dist.eder",100,FALSE
